item_id,raid,boss,item_name,p1,p2,p3,notes,tags
32238,Black Temple,High Warlord Naj'entus,Ring of Calming Waves,,,,,"ring, finger"
32247,Black Temple,High Warlord Naj'entus,Ring of Captured Storms,,,,,"ring, finger"
32239,Black Temple,High Warlord Naj'entus,Slippers of the Seacaller,,,,,"cloth armor, feet"
32240,Black Temple,High Warlord Naj'entus,Guise of the Tidal Lurker,,,,,"leather armor, head"
32377,Black Temple,High Warlord Naj'entus,Mantle of Darkness,,,,,"leather armor, shoulder"
32241,Black Temple,High Warlord Naj'entus,Helm of Soothing Currents,,,,,"mail armor, head"
32234,Black Temple,High Warlord Naj'entus,Fists of Mukoa,,,,,"mail armor, hands"
32242,Black Temple,High Warlord Naj'entus,Boots of Oceanic Fury,,,,,"mail armor, feet"
32232,Black Temple,High Warlord Naj'entus,Eternium Shell Bracers,,,,,"plate armor, wrist"
32243,Black Temple,High Warlord Naj'entus,Pearl Inlaid Boots,,,,,"plate armor, feet"
32245,Black Temple,High Warlord Naj'entus,Tide-stomper's Greaves,,,,,"plate armor, feet"
32236,Black Temple,High Warlord Naj'entus,Rising Tide,,,,,"one-handed axe, one-hand"
32237,Black Temple,High Warlord Naj'entus,The Maelstrom's Fury,,,,,"dagger, main hand"
32248,Black Temple,High Warlord Naj'entus,Halberd of Desolation,,,,,"polearm, two-hand"
32261,Black Temple,Supremus,Band of the Abyssal Lord,,,,,"ring, finger"
32260,Black Temple,Supremus,Choker of Endless Nightmares,,,,,"amulet, neck"
32257,Black Temple,Supremus,Idol of the White Stag,,,,,"idol, relic"
32256,Black Temple,Supremus,Waistwrap of Infinity,,,,,"cloth armor, waist"
32252,Black Temple,Supremus,Nether Shadow Tunic,,,,,"leather armor, chest"
32258,Black Temple,Supremus,Naturalist's Preserving Cinch,,,,,"mail armor, waist"
32259,Black Temple,Supremus,Bands of the Coming Storm,,,,,"mail armor, wrist"
32251,Black Temple,Supremus,Wraps of Precise Flight,,,,,"mail armor, wrist"
32250,Black Temple,Supremus,Pauldrons of Abyssal Fury,,,,,"plate armor, shoulder"
32254,Black Temple,Supremus,The Brutalizer,,,,,"one-handed axe, one-hand"
32262,Black Temple,Supremus,Syphon of the Nathrezim,,,,,"one-handed mace, one-hand"
32253,Black Temple,Supremus,Legionkiller,,,,,"crossbow, ranged"
