item_id,raid,boss,item_name,p1,p2,p3,notes,tags
30056,Serpentshrine Cavern,Hydross the Unstable,Robe of Hateful Echoes,Free roll,,,,"mage, warlock, elemental shaman, balance druid, shadow priest, caster,"
32516,Serpentshrine Cavern,Hydross the Unstable,Wraps of Purification,Healing Priest,,,,"healing priest, holy paladin, restoration druid, restoration shaman"
30050,Serpentshrine Cavern,Hydross the Unstable,Boots of the Shifting Nightmare,Warlock / SPriest,,,Tailors are deprioritized as the have access to better.,"warlock, shadow priest"
30055,Serpentshrine Cavern,Hydross the Unstable,Shoulderpads of the Stranger,DPS Warrior/Ret Paladin/Enh Shaman ,Free roll / OS roll (prio swaps),,***LC will make final call between whomever rolled.***,"dps warrior, enhancement shaman, retribution paladin, physical dps,"
30047,Serpentshrine Cavern,Hydross the Unstable,Blackfathom Warbands,Holy Paladin/Resto Shaman,,,,"holy paladin, restoration shaman, healer"
30054,Serpentshrine Cavern,Hydross the Unstable,Ranger-General's Chestguard,Free roll,,,,"hunter, dps warrior, enhancement shaman, retribution paladin, physical dps,"
30048,Serpentshrine Cavern,Hydross the Unstable,Brighthelm of Justice,Holy Paladin,,,,"holy paladin, healer"
30053,Serpentshrine Cavern,Hydross the Unstable,Pauldrons of the Wardancer,DPS Warrior/Ret Paladin,,,Plate alt to Shoulderpads of the Stranger,"retribution paladin, "
30052,Serpentshrine Cavern,Hydross the Unstable,Ring of Lethality,Enh Shaman/Rogue/Feral DPS,Hunter/DPS Warrior,,,"dps warrior, enhancement shaman, rogue, feral dps, physical dps,"
33055,Serpentshrine Cavern,Hydross the Unstable,Band of Vile Aggression,Free roll ,,,,
30664,Serpentshrine Cavern,Hydross the Unstable,Living Root of the Wildheart,Free roll ,,,,
30629,Serpentshrine Cavern,Hydross the Unstable,Scarab of Displacement,Free roll ,,,,
30049,Serpentshrine Cavern,Hydross the Unstable,Fathomstone,Warlock,,,Winning this get deprioritized on the Nexus Key.,"mage, warlock, elemental shaman, balance druid, shadow priest, caster, "
30051,Serpentshrine Cavern,Hydross the Unstable,Idol of the Crescent Goddess,Free roll ,,,,"restoration druid, healer,"
30064,Serpentshrine Cavern,The Lurker Below,Cord of Screaming Terrors,Warlock,Balance/SPriest,Ele Shaman/Mage/OS,Prio for classes that need hit the most.,"mage, warlock, elemental shaman, balance druid, shadow priest, caster, "
30067,Serpentshrine Cavern,The Lurker Below,Velvet Boots of the Guardian,Mage / Ele Shaman,Balance,,,"mage, elemental shaman, balance druid,"
30062,Serpentshrine Cavern,The Lurker Below,Grove-Bands of Remulos,Resto Druid,,,,"restoration druid, healer,"
30060,Serpentshrine Cavern,The Lurker Below,Boots of Effortless Striking,Free roll,,,,
30066,Serpentshrine Cavern,The Lurker Below,Tempest-Strider Boots,Free roll,,,,
30065,Serpentshrine Cavern,The Lurker Below,Glowing Breastplate of Truth,Holy Paladin,,,,"paladin, healer"
30057,Serpentshrine Cavern,The Lurker Below,Bracers of Eradication,DPS Warrior,,,,dps warrior
30059,Serpentshrine Cavern,The Lurker Below,Choker of Animalistic Fury,Hunter/Ret Paladin,,,Hunter alt to Telonicus's Pendant of Mayhem,"retribution paladin, hunter"
